Surface Area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
MoCAvsCN,L_superiorfrontal,0.007,40.20,-71.58,86.08,0.10,1149,1013,0.857,
MoCAvsCN,L_superiorparietal,-0.031,33.71,-91.01,41.20,-0.47,1150,1003,0.460,
MoCAvsCN,L_superiortemporal,-0.019,23.56,-56.98,35.42,-0.29,1062,904,0.647,
MoCAvsCN,L_supramarginal,0.035,31.16,-34.83,87.37,0.69,1116,997,0.399,
MoCAvsCN,L_frontalpole,-0.028,2.02,-5.50,2.41,-0.73,1169,1031,0.444,
MoCAvsCN,L_temporalpole,-0.097,3.80,-16.59,-1.66,-1.92,1150,971,0.017,
MoCAvsCN,L_transversetemporal,0.051,4.44,-3.09,14.33,1.25,1174,1036,0.206,
MoCAvsCN,L_insula,0.075,13.05,0.68,51.87,1.20,1160,1031,0.044,
MoCAvsCN,R_bankssts,-0.006,8.20,-17.27,14.88,-0.13,1131,1005,0.884,
MoCAvsCN,R_caudalanteriorcingulate,-0.023,9.43,-23.87,13.11,-0.71,1172,1025,0.569,
MoCAvsCN,R_caudalmiddlefrontal,0.026,19.38,-26.05,49.94,0.58,1166,1035,0.538,
MoCAvsCN,R_cuneus,-0.105,12.50,-55.33,-6.30,-2.05,1063,929,0.014,
MoCAvsCN,R_entorhinal,0.022,4.85,-6.93,12.11,0.73,1143,1012,0.593,
MoCAvsCN,R_fusiform,-0.063,20.44,-72.80,7.39,-1.07,1171,1018,0.110,
MoCAvsCN,R_inferiorparietal,0.016,37.05,-58.31,87.00,0.27,1153,1004,0.699,
MoCAvsCN,R_inferiortemporal,-0.020,23.18,-56.73,34.18,-0.37,1128,1007,0.627,
MoCAvsCN,R_isthmuscingulate,0.014,8.56,-13.81,19.76,0.32,1173,1031,0.728,
MoCAvsCN,R_lateraloccipital,-0.032,34.11,-94.10,39.68,-0.59,1155,1007,0.425,
MoCAvsCN,R_lateralorbitofrontal,0.093,16.73,6.01,71.63,1.57,1170,1027,0.020,
MoCAvsCN,R_lingual,-0.052,24.12,-78.19,16.40,-1.02,1118,981,0.200,
MoCAvsCN,R_medialorbitofrontal,0.036,11.06,-11.60,31.80,0.56,1160,1021,0.361,
MoCAvsCN,R_middletemporal,-0.008,21.82,-47.01,38.56,-0.13,1136,1005,0.846,
MoCAvsCN,R_parahippocampal,0.075,5.35,-0.60,20.40,1.51,1173,1030,0.065,
MoCAvsCN,R_paracentral,0.027,11.94,-15.47,31.38,0.53,1172,1026,0.506,
MoCAvsCN,R_parsopercularis,-0.045,11.82,-36.16,10.20,-0.96,1168,1023,0.272,
MoCAvsCN,R_parsorbitalis,0.078,5.71,-0.16,22.25,1.47,1172,1024,0.053,
MoCAvsCN,R_parstriangularis,0.016,12.72,-19.98,29.93,0.35,1170,1022,0.696,
MoCAvsCN,R_pericalcarine,-0.077,15.44,-58.26,2.29,-1.89,1044,912,0.070,
MoCAvsCN,R_postcentral,-0.047,23.73,-73.00,20.06,-0.67,1136,996,0.265,
MoCAvsCN,R_posteriorcingulate,0.002,10.11,-19.41,20.23,0.04,1172,1031,0.968,
MoCAvsCN,R_precentral,0.060,26.66,-13.72,90.83,0.80,1134,1021,0.148,
MoCAvsCN,R_precuneus,0.081,25.06,1.59,99.87,1.33,1172,1032,0.043,
MoCAvsCN,R_rostralanteriorcingulate,-0.033,7.98,-22.55,8.75,-1.03,1157,1025,0.387,
MoCAvsCN,R_rostralmiddlefrontal,-0.019,39.00,-95.64,57.31,-0.34,1168,1026,0.623,
MoCAvsCN,R_superiorfrontal,0.051,40.30,-27.96,130.10,0.76,1161,1012,0.205,
MoCAvsCN,R_superiorparietal,-0.007,32.82,-70.20,58.52,-0.11,1160,1017,0.859,
MoCAvsCN,R_superiortemporal,0.030,20.04,-24.62,53.97,0.42,1113,979,0.464,
MoCAvsCN,R_supramarginal,0.016,27.52,-43.46,64.49,0.29,1149,1005,0.702,
MoCAvsCN,R_frontalpole,0.020,2.61,-3.74,6.48,0.50,1171,1030,0.599,
MoCAvsCN,R_temporalpole,0.014,3.90,-6.31,9.00,0.32,1141,999,0.730,
MoCAvsCN,R_transversetemporal,0.008,3.04,-5.35,6.57,0.18,1176,1035,0.842,
MoCAvsCN,R_insula,-0.003,15.23,-31.06,28.68,-0.05,1156,1028,0.938,
