SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY3PDvsCN,R_postcentral,-0.165,34.94,-145.15,-7.96,-1.92,483,243,0.029,
HY3PDvsCN,R_posteriorcingulate,-0.085,14.06,-44.65,10.56,-1.47,499,257,0.226,
HY3PDvsCN,R_precentral,-0.155,38.49,-156.06,-4.91,-1.66,480,246,0.037,
HY3PDvsCN,R_precuneus,-0.228,33.77,-175.27,-42.67,-2.84,499,256,0.001,
HY3PDvsCN,R_rostralanteriorcingulate,-0.096,10.76,-36.14,6.11,-2.24,489,253,0.163,
HY3PDvsCN,R_rostralmiddlefrontal,-0.248,55.56,-303.51,-85.36,-3.45,498,257,<0.001,
HY3PDvsCN,R_superiorfrontal,-0.193,59.10,-274.22,-42.17,-2.35,494,250,0.008,
HY3PDvsCN,R_superiorparietal,-0.257,48.27,-260.46,-70.92,-3.11,495,245,<0.001,
HY3PDvsCN,R_superiortemporal,-0.170,27.96,-118.99,-9.18,-1.84,478,237,0.022,
HY3PDvsCN,R_supramarginal,-0.124,39.35,-142.45,12.07,-1.82,491,247,0.098,
HY3PDvsCN,R_frontalpole,-0.079,3.57,-11.28,2.75,-1.55,500,257,0.233,
HY3PDvsCN,R_temporalpole,-0.106,5.28,-18.14,2.58,-1.82,487,240,0.141,
HY3PDvsCN,R_transversetemporal,-0.085,4.13,-12.88,3.33,-1.43,501,257,0.248,
HY3PDvsCN,R_insula,-0.160,21.87,-92.37,-6.49,-2.16,490,254,0.024,
