Surface_Area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY3PDvsHY4PDandHY5PD,R_parsorbitalis,-0.042,11.55,-26.70,18.76,-0.53,258,81,0.731,
HY3PDvsHY4PDandHY5PD,R_parstriangularis,-0.081,29.04,-76.53,37.75,-1.37,259,81,0.505,
HY3PDvsHY4PDandHY5PD,R_pericalcarine,0.024,32.56,-58.49,69.74,0.39,222,69,0.863,
HY3PDvsHY4PDandHY5PD,R_postcentral,-0.007,54.32,-109.70,104.08,-0.07,244,80,0.959,
HY3PDvsHY4PDandHY5PD,R_posteriorcingulate,-0.142,20.38,-62.82,17.38,-1.99,259,79,0.266,
HY3PDvsHY4PDandHY5PD,R_precentral,0.184,60.38,-26.82,210.80,1.91,247,80,0.129,
HY3PDvsHY4PDandHY5PD,R_precuneus,-0.070,52.10,-131.37,73.65,-0.76,258,81,0.580,
HY3PDvsHY4PDandHY5PD,R_rostralanteriorcingulate,-0.043,15.89,-37.00,25.54,-0.90,255,81,0.719,
HY3PDvsHY4PDandHY5PD,R_rostralmiddlefrontal,0.164,83.03,-47.85,278.86,2.07,259,81,0.165,
HY3PDvsHY4PDandHY5PD,R_superiorfrontal,0.066,90.97,-128.67,229.34,0.76,251,81,0.580,
HY3PDvsHY4PDandHY5PD,R_superiorparietal,-0.018,70.21,-148.52,127.80,-0.20,247,81,0.883,
HY3PDvsHY4PDandHY5PD,R_superiortemporal,0.001,41.99,-82.70,82.58,0.00,239,78,0.999,
HY3PDvsHY4PDandHY5PD,R_supramarginal,-0.071,56.33,-141.84,79.85,-0.87,249,81,0.583,
HY3PDvsHY4PDandHY5PD,R_frontalpole,0.087,5.37,-6.39,14.76,1.49,259,81,0.437,
HY3PDvsHY4PDandHY5PD,R_temporalpole,0.107,8.05,-8.69,22.98,1.66,242,80,0.375,
HY3PDvsHY4PDandHY5PD,R_transversetemporal,0.024,6.26,-11.14,13.50,0.35,259,81,0.851,
HY3PDvsHY4PDandHY5PD,R_insula,-0.053,32.73,-79.39,49.41,-0.66,256,81,0.647,
