Surface_Area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY2PDvsHY3PD,L_temporalpole,-0.074,4.70,-14.26,4.18,-1.08,1005,239,0.284,
HY2PDvsHY3PD,L_transversetemporal,-0.019,5.40,-12.15,9.04,-0.34,1058,259,0.774,
HY2PDvsHY3PD,L_insula,-0.072,16.08,-50.72,12.38,-0.87,1052,255,0.233,
HY2PDvsHY3PD,R_bankssts,-0.203,10.27,-51.73,-11.44,-3.43,1004,240,0.002,
HY2PDvsHY3PD,R_caudalanteriorcingulate,-0.055,11.50,-32.06,13.05,-1.24,1043,258,0.408,
HY2PDvsHY3PD,R_caudalmiddlefrontal,-0.127,24.71,-95.19,1.76,-2.26,1050,256,0.059,
HY2PDvsHY3PD,R_cuneus,-0.152,15.16,-62.25,-2.76,-2.20,950,230,0.032,
HY2PDvsHY3PD,R_entorhinal,-0.101,6.14,-21.26,2.85,-2.58,998,245,0.134,
HY2PDvsHY3PD,R_fusiform,-0.180,27.41,-129.48,-21.95,-2.48,1045,254,0.006,
HY2PDvsHY3PD,R_inferiorparietal,-0.176,45.70,-211.29,-31.95,-2.29,1020,252,0.008,
HY2PDvsHY3PD,R_inferiortemporal,-0.159,29.39,-128.57,-13.25,-2.32,1025,242,0.016,
HY2PDvsHY3PD,R_isthmuscingulate,-0.030,10.87,-26.86,16.27,-0.53,1047,257,0.643,
HY2PDvsHY3PD,R_lateraloccipital,-0.128,41.99,-163.11,1.66,-1.77,1036,252,0.055,
HY2PDvsHY3PD,R_lateralorbitofrontal,-0.087,20.91,-69.19,12.87,-1.13,1050,258,0.178,
HY2PDvsHY3PD,R_lingual,-0.103,29.91,-105.29,12.07,-1.57,995,245,0.119,
HY2PDvsHY3PD,R_medialorbitofrontal,-0.105,13.99,-50.20,4.71,-1.26,1038,256,0.104,
HY2PDvsHY3PD,R_middletemporal,-0.269,26.70,-164.26,-59.48,-3.38,1018,251,<0.001,
HY2PDvsHY3PD,R_parahippocampal,-0.205,7.54,-38.42,-8.84,-3.54,1043,257,0.002,
HY2PDvsHY3PD,R_paracentral,-0.014,16.16,-35.06,28.35,-0.22,1041,254,0.836,
HY2PDvsHY3PD,R_parsopercularis,-0.071,14.70,-44.36,13.32,-1.16,1053,259,0.291,
HY2PDvsHY3PD,R_parsorbitalis,-0.160,7.09,-31.28,-3.44,-2.29,1050,258,0.015,
HY2PDvsHY3PD,R_parstriangularis,-0.035,17.01,-42.40,24.34,-0.64,1046,259,0.595,
HY2PDvsHY3PD,R_pericalcarine,0.028,18.92,-29.66,44.58,0.51,934,222,0.694,
HY2PDvsHY3PD,R_postcentral,-0.104,32.20,-112.32,14.04,-1.23,994,244,0.127,
HY2PDvsHY3PD,R_posteriorcingulate,-0.081,12.40,-40.08,8.57,-1.34,1053,259,0.204,
HY2PDvsHY3PD,R_precentral,-0.169,35.72,-163.86,-23.70,-1.92,1009,247,0.009,
HY2PDvsHY3PD,R_precuneus,-0.146,31.78,-133.54,-8.86,-1.83,1050,258,0.025,
HY2PDvsHY3PD,R_rostralanteriorcingulate,-0.089,9.67,-32.27,5.68,-1.98,1040,255,0.170,
HY2PDvsHY3PD,R_rostralmiddlefrontal,-0.105,48.73,-176.32,14.86,-1.43,1050,259,0.098,
HY2PDvsHY3PD,R_superiorfrontal,-0.101,51.35,-181.63,19.87,-1.20,1027,251,0.116,
HY2PDvsHY3PD,R_superiorparietal,-0.115,42.55,-157.90,9.08,-1.41,1021,247,0.081,
HY2PDvsHY3PD,R_superiortemporal,-0.218,25.65,-134.83,-34.18,-2.38,958,239,0.001,
HY2PDvsHY3PD,R_supramarginal,-0.172,34.63,-157.50,-21.60,-2.47,1016,249,0.010,
HY2PDvsHY3PD,R_frontalpole,-0.091,3.15,-10.90,1.47,-1.70,1053,259,0.135,
HY2PDvsHY3PD,R_temporalpole,0.047,4.83,-6.12,12.82,0.79,1000,242,0.488,
HY2PDvsHY3PD,R_transversetemporal,-0.057,3.94,-11.16,4.29,-1.01,1056,259,0.383,
HY2PDvsHY3PD,R_insula,-0.122,18.99,-74.21,0.32,-1.63,1043,256,0.052,
