CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
PDvsCN,L_precuneus,-0.156,0.005,-0.042,-0.020,-1.373,1173,2301,<0.001,
PDvsCN,L_rostralanteriorcingulate,0.007,0.010,-0.017,0.021,0.075,1164,2285,0.830,
PDvsCN,L_rostralmiddlefrontal,-0.088,0.005,-0.026,-0.007,-0.728,1170,2286,0.001,
PDvsCN,L_superiorfrontal,-0.104,0.006,-0.031,-0.009,-0.784,1163,2257,<0.001,
PDvsCN,L_superiorparietal,-0.145,0.005,-0.038,-0.017,-1.335,1150,2233,<0.001,
PDvsCN,L_superiortemporal,-0.096,0.007,-0.034,-0.008,-0.819,1070,2019,0.001,
PDvsCN,L_supramarginal,-0.131,0.006,-0.037,-0.014,-1.080,1118,2182,<0.001,
PDvsCN,L_frontalpole,-0.011,0.011,-0.024,0.017,-0.128,1169,2309,0.747,
PDvsCN,L_temporalpole,-0.102,0.013,-0.066,-0.015,-1.132,1150,2215,0.002,
PDvsCN,L_transversetemporal,-0.072,0.009,-0.036,-0.003,-0.884,1174,2319,0.023,
PDvsCN,L_insula,-0.036,0.007,-0.022,0.006,-0.273,1168,2303,0.269,
PDvsCN,R_bankssts,-0.122,0.007,-0.045,-0.017,-1.261,1129,2208,<0.001,
PDvsCN,R_caudalanteriorcingulate,-0.027,0.010,-0.028,0.011,-0.345,1173,2295,0.384,
PDvsCN,R_caudalmiddlefrontal,-0.040,0.006,-0.020,0.004,-0.335,1167,2300,0.197,
PDvsCN,R_cuneus,-0.108,0.006,-0.033,-0.011,-1.225,1085,2110,<0.001,
PDvsCN,R_entorhinal,-0.100,0.014,-0.079,-0.024,-1.510,1145,2201,<0.001,
PDvsCN,R_fusiform,-0.117,0.007,-0.047,-0.019,-1.260,1172,2288,<0.001,
PDvsCN,R_inferiorparietal,-0.194,0.006,-0.051,-0.029,-1.694,1153,2225,<0.001,
PDvsCN,R_inferiortemporal,-0.141,0.007,-0.046,-0.020,-1.231,1129,2237,<0.001,
PDvsCN,R_isthmuscingulate,-0.178,0.008,-0.059,-0.029,-1.869,1175,2297,<0.001,
PDvsCN,R_lateraloccipital,-0.167,0.006,-0.045,-0.021,-1.523,1157,2246,<0.001,
PDvsCN,R_lateralorbitofrontal,-0.141,0.006,-0.046,-0.021,-1.354,1169,2304,<0.001,
PDvsCN,R_lingual,-0.094,0.005,-0.029,-0.008,-0.927,1126,2203,<0.001,
PDvsCN,R_medialorbitofrontal,-0.067,0.007,-0.029,-0.003,-0.696,1165,2281,0.015,
PDvsCN,R_middletemporal,-0.134,0.007,-0.046,-0.020,-1.197,1136,2224,<0.001,
PDvsCN,R_parahippocampal,-0.108,0.010,-0.055,-0.016,-1.371,1173,2296,<0.001,
PDvsCN,R_paracentral,-0.052,0.007,-0.026,0.001,-0.532,1173,2281,0.076,
PDvsCN,R_parsopercularis,-0.026,0.006,-0.018,0.006,-0.230,1172,2297,0.364,
PDvsCN,R_parsorbitalis,-0.086,0.008,-0.037,-0.007,-0.863,1172,2296,0.004,
PDvsCN,R_parstriangularis,-0.027,0.006,-0.017,0.006,-0.235,1173,2284,0.353,
PDvsCN,R_pericalcarine,-0.058,0.006,-0.024,-0.002,-0.814,1070,2077,0.026,
PDvsCN,R_postcentral,-0.104,0.005,-0.030,-0.010,-0.998,1134,2174,<0.001,
PDvsCN,R_posteriorcingulate,-0.156,0.006,-0.048,-0.023,-1.503,1174,2308,<0.001,
PDvsCN,R_precentral,-0.052,0.007,-0.025,0.002,-0.485,1131,2220,0.086,
PDvsCN,R_precuneus,-0.193,0.006,-0.049,-0.027,-1.679,1174,2304,<0.001,
PDvsCN,R_rostralanteriorcingulate,-0.010,0.010,-0.022,0.015,-0.121,1164,2282,0.732,
PDvsCN,R_rostralmiddlefrontal,-0.047,0.005,-0.021,0.001,-0.452,1168,2299,0.063,
PDvsCN,R_superiorfrontal,-0.110,0.006,-0.033,-0.011,-0.879,1163,2258,<0.001,
PDvsCN,R_superiorparietal,-0.174,0.005,-0.046,-0.025,-1.709,1161,2254,<0.001,
PDvsCN,R_superiortemporal,-0.077,0.006,-0.032,-0.007,-0.739,1114,2147,0.002,
PDvsCN,R_supramarginal,-0.153,0.006,-0.042,-0.019,-1.280,1148,2209,<0.001,
PDvsCN,R_frontalpole,-0.094,0.010,-0.051,-0.010,-1.154,1171,2306,0.003,
PDvsCN,R_temporalpole,-0.096,0.013,-0.069,-0.017,-1.174,1142,2219,0.001,
PDvsCN,R_transversetemporal,-0.068,0.009,-0.043,-0.007,-1.110,1175,2317,0.006,
PDvsCN,R_insula,-0.077,0.008,-0.036,-0.005,-0.710,1163,2294,0.008,
