SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_firstepisode,n_recurrent,pobs,fdr_p
MDDadolescent_firstepisodevsrecurrent,R_lateralorbitofrontal,-0.276,0.16,,,67,100,0.085,0.349
MDDadolescent_firstepisodevsrecurrent,R_lingual,-0.303,0.231,,,67,102,0.189,0.431
MDDadolescent_firstepisodevsrecurrent,R_medialorbitofrontal,-0.172,0.159,,,67,102,0.28,0.468
MDDadolescent_firstepisodevsrecurrent,R_middletemporal,-0.415,0.229,,,66,96,0.07,0.321
MDDadolescent_firstepisodevsrecurrent,R_parahippocampal,0.373,0.562,,,67,101,0.507,0.671
MDDadolescent_firstepisodevsrecurrent,R_paracentral,-0.291,0.159,,,67,102,0.068,0.321
MDDadolescent_firstepisodevsrecurrent,R_parsopercularis,-0.558,0.435,,,67,102,0.199,0.431
MDDadolescent_firstepisodevsrecurrent,R_parsorbitalis,-0.113,0.159,,,67,100,0.477,0.668
MDDadolescent_firstepisodevsrecurrent,R_parstriangularis,-0.095,0.203,,,67,102,0.639,0.733
MDDadolescent_firstepisodevsrecurrent,R_pericalcarine,-0.133,0.206,,,67,101,0.52,0.671
MDDadolescent_firstepisodevsrecurrent,R_postcentral,-0.17,0.159,,,66,102,0.287,0.468
MDDadolescent_firstepisodevsrecurrent,R_posteriorcingulate,-0.241,0.159,,,67,102,0.13,0.379
MDDadolescent_firstepisodevsrecurrent,R_precentral,-0.218,0.159,,,67,102,0.17,0.41
MDDadolescent_firstepisodevsrecurrent,R_precuneus,-0.252,0.159,,,67,102,0.113,0.375
MDDadolescent_firstepisodevsrecurrent,R_rostralanteriorcingulate,-0.409,0.16,,,67,101,0.011,0.126
MDDadolescent_firstepisodevsrecurrent,R_rostralmiddlefrontal,-0.091,0.34,,,67,102,0.789,0.85
MDDadolescent_firstepisodevsrecurrent,R_superiorfrontal,-0.329,0.183,,,67,102,0.073,0.321
MDDadolescent_firstepisodevsrecurrent,R_superiorparietal,-0.072,0.227,,,67,102,0.751,0.821
MDDadolescent_firstepisodevsrecurrent,R_superiortemporal,-0.34,0.186,,,66,98,0.068,0.321
MDDadolescent_firstepisodevsrecurrent,R_supramarginal,-0.364,0.338,,,67,100,0.281,0.468
MDDadolescent_firstepisodevsrecurrent,R_frontalpole,-0.043,0.307,,,67,102,0.889,0.901
MDDadolescent_firstepisodevsrecurrent,R_temporalpole,-0.202,0.159,,,67,102,0.204,0.431
MDDadolescent_firstepisodevsrecurrent,R_transversetemporal,-0.365,0.337,,,67,102,0.279,0.468
MDDadolescent_firstepisodevsrecurrent,R_insula,-0.147,0.159,,,67,102,0.355,0.518
